id,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
41,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
42,5828,4,1,4,yes,yes,no,no,no,0,no,semi-furnished
43,2400,3,1,2,yes,no,no,no,no,0,no,unfurnished
44,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
45,6900,3,2,1,yes,yes,yes,no,no,0,yes,unfurnished
46,6600,3,1,4,yes,no,no,no,yes,3,yes,furnished
47,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
48,4400,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
49,3512,2,1,1,yes,no,no,no,no,1,yes,unfurnished
50,3650,3,2,2,yes,no,no,no,no,2,no,semi-furnished
51,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
52,6321,3,1,2,yes,no,yes,no,yes,1,no,furnished
53,4960,4,1,3,no,no,no,no,no,0,no,semi-furnished
54,3162,3,1,2,yes,no,no,no,yes,1,no,furnished
55,4750,2,1,1,yes,no,no,no,no,0,no,unfurnished
56,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
57,3600,3,1,1,yes,no,yes,no,yes,0,yes,furnished
58,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
59,4800,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
60,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished
61,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
62,4815,2,1,1,yes,no,no,no,yes,0,yes,semi-furnished
63,3400,3,1,2,yes,no,yes,no,no,2,yes,semi-furnished
64,3960,3,1,2,yes,no,no,no,no,0,no,furnished
65,6615,3,1,2,yes,no,no,no,no,0,no,semi-furnished
66,6360,3,1,1,yes,yes,yes,no,yes,2,yes,furnished
67,4050,2,1,1,yes,no,no,no,no,0,no,furnished
68,2800,3,1,1,yes,no,no,no,no,0,no,unfurnished
69,3180,2,1,1,yes,no,no,no,no,0,no,unfurnished
70,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
71,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
72,10500,4,2,2,yes,no,no,no,no,1,no,semi-furnished
73,7200,3,1,2,yes,yes,yes,no,no,1,yes,furnished
74,6360,2,1,1,yes,no,no,no,no,0,no,furnished
75,4500,2,1,1,no,no,no,no,no,0,no,furnished
76,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished
77,2135,3,2,2,no,no,no,no,no,0,no,unfurnished
78,7980,3,1,1,yes,no,no,no,no,1,yes,semi-furnished
79,8580,4,3,4,yes,no,no,no,yes,2,yes,semi-furnished
80,4632,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
81,8400,3,1,2,yes,yes,yes,no,yes,2,yes,unfurnished
82,5900,4,2,2,no,no,yes,no,no,1,no,unfurnished
83,3036,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
84,1650,3,1,2,no,no,yes,no,no,0,no,unfurnished
85,3640,3,2,2,yes,no,yes,no,no,0,no,unfurnished
86,2910,3,1,1,no,no,no,no,no,0,no,furnished
87,12944,3,1,1,yes,no,no,no,no,0,no,unfurnished
88,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
89,6750,2,1,1,yes,yes,yes,no,no,2,yes,furnished
90,3090,2,1,1,yes,yes,yes,no,no,0,no,unfurnished
91,8150,3,2,1,yes,yes,yes,no,no,0,no,semi-furnished
92,3480,3,1,2,no,no,no,no,no,1,no,semi-furnished
93,7600,4,1,2,yes,no,no,no,yes,2,no,furnished
94,5020,3,1,4,yes,no,no,no,yes,0,yes,unfurnished
95,3240,3,1,2,yes,no,no,no,no,2,no,semi-furnished
96,3750,2,1,1,yes,yes,yes,no,no,0,no,semi-furnished
97,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
98,7410,3,1,1,yes,yes,yes,no,yes,2,yes,unfurnished
99,3180,3,2,2,yes,no,no,no,no,2,no,semi-furnished
100,5360,3,1,2,yes,no,no,no,no,2,yes,unfurnished
101,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
102,3185,2,1,1,yes,no,yes,no,no,2,no,furnished
103,9860,3,1,1,yes,no,no,no,no,0,no,semi-furnished
104,4880,3,1,1,yes,no,no,no,no,2,yes,unfurnished
105,6600,3,2,3,yes,no,no,no,yes,0,yes,unfurnished
106,4080,3,1,2,yes,no,no,no,no,2,no,semi-furnished
107,7350,2,1,1,yes,no,no,no,no,1,no,semi-furnished
108,4350,2,1,1,yes,no,yes,no,no,0,no,unfurnished
109,5300,4,2,1,yes,no,no,no,yes,0,yes,unfurnished
110,4320,3,1,1,no,no,no,no,no,1,no,unfurnished
111,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
112,2817,4,2,2,no,yes,yes,no,no,1,no,furnished
113,4320,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
114,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
115,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
116,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
117,4840,2,1,2,yes,no,no,no,no,0,no,unfurnished
118,3180,3,1,1,no,no,no,no,no,0,no,unfurnished
119,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
120,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
121,6600,4,2,2,yes,yes,yes,no,yes,1,yes,unfurnished
122,2145,3,1,3,yes,no,no,no,no,1,yes,unfurnished
123,10500,2,1,1,yes,no,no,no,no,1,no,semi-furnished
124,3630,3,1,2,yes,no,no,no,no,2,no,semi-furnished
125,6000,3,2,4,yes,yes,no,no,yes,1,no,furnished
126,4400,3,1,2,yes,no,no,no,no,0,no,unfurnished
127,7000,3,1,1,yes,no,no,no,no,3,no,furnished
128,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
129,6000,3,2,2,yes,yes,no,no,no,1,no,semi-furnished
130,2953,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
131,4646,3,1,2,yes,yes,yes,no,no,2,no,semi-furnished
132,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
133,7020,3,1,1,yes,no,yes,no,yes,2,yes,semi-furnished
134,3840,3,1,2,yes,no,no,no,no,1,yes,semi-furnished
135,2398,3,1,1,yes,no,no,no,no,0,yes,semi-furnished
136,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
137,3640,3,1,2,yes,no,no,no,yes,0,no,furnished
138,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
139,11460,3,1,3,yes,no,no,no,no,2,yes,semi-furnished
140,3500,4,1,2,yes,no,no,no,yes,2,no,unfurnished
141,8880,2,1,1,yes,no,no,no,yes,1,no,semi-furnished
142,13200,3,1,2,yes,no,yes,no,yes,2,yes,furnished
143,4000,3,2,2,yes,no,yes,no,yes,1,no,semi-furnished
144,3480,4,1,2,no,no,no,no,no,1,no,semi-furnished
145,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
146,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
147,6840,5,1,2,yes,yes,yes,no,yes,1,no,furnished
148,3240,4,1,3,yes,no,no,no,no,1,no,semi-furnished
149,12900,3,1,1,yes,no,no,no,no,2,no,furnished
150,2870,2,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
151,5900,2,1,1,yes,no,no,no,no,1,no,furnished
152,6800,2,1,1,yes,no,no,no,no,0,no,unfurnished
153,4500,3,1,1,yes,no,yes,no,no,0,no,furnished
154,8372,3,1,3,yes,no,no,no,yes,2,no,unfurnished
155,7000,3,2,4,yes,no,no,no,yes,2,no,furnished
156,4040,2,1,1,yes,no,no,no,no,1,no,unfurnished
157,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
158,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished
159,3420,5,1,2,no,no,no,no,no,0,no,unfurnished
160,6000,3,2,4,yes,yes,yes,no,yes,0,yes,semi-furnished
161,3420,4,2,2,yes,no,yes,no,yes,2,no,semi-furnished
162,2175,3,1,2,no,yes,yes,no,yes,0,no,unfurnished
163,5170,3,1,4,yes,no,no,no,yes,0,no,semi-furnished
164,6000,4,1,3,yes,yes,yes,no,no,0,yes,unfurnished
165,9800,4,2,2,yes,yes,no,no,no,2,no,semi-furnished
166,6540,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
167,3520,2,1,2,yes,no,no,no,no,0,yes,furnished
168,8250,3,1,1,yes,no,no,no,no,0,no,furnished
169,3180,4,1,2,yes,no,yes,no,yes,0,no,unfurnished
170,4000,3,2,2,yes,no,yes,no,yes,0,yes,semi-furnished
171,5720,2,1,2,yes,no,no,no,yes,0,yes,unfurnished
172,3450,3,1,2,yes,no,no,no,no,1,no,semi-furnished
173,5600,2,1,1,yes,no,no,no,yes,0,no,semi-furnished
174,9166,2,1,1,yes,no,yes,no,yes,2,no,semi-furnished
175,6000,3,1,2,yes,no,no,yes,no,1,yes,semi-furnished
176,3960,3,1,1,yes,no,no,no,no,0,no,furnished
177,1700,3,1,2,yes,no,no,no,no,0,no,unfurnished
178,2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
179,3120,3,1,2,yes,no,no,no,no,1,no,unfurnished
180,7160,3,1,1,yes,no,yes,no,no,2,yes,unfurnished
181,5985,3,1,1,yes,no,yes,no,no,0,no,semi-furnished
182,11440,4,1,2,yes,no,yes,no,no,1,yes,semi-furnished
183,5300,3,1,1,no,no,no,no,yes,0,yes,unfurnished
184,9000,4,2,4,yes,no,no,no,yes,2,no,furnished
185,13200,2,1,1,yes,no,yes,yes,no,1,no,furnished
186,3480,3,1,1,no,no,no,no,yes,0,no,unfurnished
187,6550,4,2,2,yes,no,no,no,yes,1,yes,semi-furnished
188,6400,3,1,1,yes,yes,yes,no,yes,1,yes,semi-furnished
189,4800,3,1,1,yes,yes,yes,no,no,0,no,unfurnished
190,5960,3,3,2,yes,yes,yes,no,no,1,no,unfurnished
191,3800,2,1,1,yes,no,no,no,no,0,no,unfurnished
192,4600,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
193,3760,3,1,2,yes,no,no,yes,no,2,no,semi-furnished
194,4370,3,1,2,yes,no,no,no,no,0,no,unfurnished
195,4410,4,3,2,yes,no,yes,no,no,2,no,semi-furnished
196,3800,3,1,2,yes,yes,yes,no,no,1,yes,unfurnished
197,6600,4,2,1,yes,no,yes,no,no,0,yes,semi-furnished
198,5500,3,1,3,yes,no,no,no,no,1,yes,unfurnished
199,3934,2,1,1,yes,no,no,no,no,0,no,unfurnished
200,3600,2,2,2,yes,no,yes,no,no,1,no,furnished
201,3510,3,1,2,yes,no,no,no,no,0,no,semi-furnished
202,3185,2,1,1,yes,no,no,no,yes,0,no,unfurnished
203,5400,2,1,2,yes,no,no,no,no,0,yes,semi-furnished
204,6420,3,2,3,yes,no,no,no,yes,0,yes,furnished
205,3000,2,1,1,yes,no,no,no,no,1,no,unfurnished
206,5500,3,2,2,yes,no,no,no,no,1,no,semi-furnished
207,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished
208,4040,2,1,1,yes,no,no,no,no,0,no,unfurnished
209,4900,2,1,2,yes,no,yes,no,no,0,no,semi-furnished
210,9620,3,1,1,yes,no,yes,no,no,2,yes,furnished
211,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
212,6060,3,1,1,yes,yes,yes,no,no,0,no,furnished
213,1950,3,2,2,yes,no,yes,no,no,0,yes,unfurnished
214,6000,4,2,4,yes,yes,no,no,yes,1,no,furnished
215,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
216,2400,3,1,1,no,no,no,no,no,0,no,semi-furnished
217,6050,3,1,1,yes,no,yes,no,no,0,yes,semi-furnished
218,11175,3,1,1,yes,no,yes,no,yes,1,yes,furnished
